c_d_dep,departamento,c_d_mun,municipio,grupo_de_cultivo,subgrupo_de_cultivo,cultivo,desagregaci_n_regional_y,a_o,periodo,rea_sembrada_ha,rea_cosechada_ha,producci_n_t,rendimiento_t_ha,estado_fisico_produccion,nombre_cientifico,ciclo_de_cultivo
19,CAUCA,19821,TORIBIO,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2009,2009,11,7,11,1.5,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
19,CAUCA,19392,LA SIERRA,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2009,2009,7,6,9,1.5,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41668,SAN AGUSTIN,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2009,2009,85,85,128,1.5,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41020,ALGECIRAS,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2009,2009,20,15,24,1.6,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41306,GIGANTE,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2009,2009,18,18,27,1.5,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41359,ISNOS,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2009,2009,18,18,29,1.6,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41396,LA PLATA,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2009,2009,10,10,14,1.4,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41807,TIMANA,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2009,2009,10,10,20,2.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41244,ELIAS,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2009,2009,7,7,11,1.6,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41357,IQUIRA,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2009,2009,6,6,9,1.5,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41319,GUADALUPE,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2009,2009,5,5,8,1.5,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41503,OPORAPA,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2009,2009,1,1,2,1.6,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
52,NARIÑO,52378,LA CRUZ,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2009,2009,120,120,98,0.82,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
52,NARIÑO,52693,SAN PABLO,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2009,2009,100,90,63,0.7,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
52,NARIÑO,52258,EL TABLON,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2009,2009,20,20,16,0.8,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
19,CAUCA,19517,PAEZ,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2010,2010,80,80,80,1.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
19,CAUCA,19821,TORIBIO,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2010,2010,16,5,9,1.7,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
19,CAUCA,19392,LA SIERRA,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2010,2010,5,4,8,2.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41668,SAN AGUSTIN,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2010,2010,85,85,128,1.5,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41306,GIGANTE,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2010,2010,22,22,33,1.5,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41359,ISNOS,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2010,2010,21,21,34,1.6,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41020,ALGECIRAS,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2010,2010,20,20,32,1.6,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41807,TIMANA,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2010,2010,15,15,30,2.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41396,LA PLATA,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2010,2010,7,7,14,2.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41244,ELIAS,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2010,2010,6,6,10,1.6,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41357,IQUIRA,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2010,2010,6,6,9,1.5,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41319,GUADALUPE,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2010,2010,5,5,8,1.5,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41791,TARQUI,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2010,2010,1,1,2,1.5,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41503,OPORAPA,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2010,2010,1,1,1,1.6,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
52,NARIÑO,52378,LA CRUZ,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2010,2010,180,180,148,0.82,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
52,NARIÑO,52693,SAN PABLO,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2010,2010,110,110,77,0.7,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
52,NARIÑO,52258,EL TABLON,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2010,2010,20,20,16,0.8,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
19,CAUCA,19517,PAEZ,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2011,2011,60,60,72,1.2,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
19,CAUCA,19821,TORIBIO,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2011,2011,18,18,31,1.7,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
19,CAUCA,19392,LA SIERRA,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2011,2011,4,3,6,2.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41668,SAN AGUSTIN,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2011,2011,40,40,80,2.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41020,ALGECIRAS,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2011,2011,20,20,40,2.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41359,ISNOS,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2011,2011,15,15,30,2.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41396,LA PLATA,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2011,2011,8,8,16,2.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41244,ELIAS,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2011,2011,5,5,10,2.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41807,TIMANA,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2011,2011,5,5,10,2.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41319,GUADALUPE,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2011,2011,4,3,6,2.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41357,IQUIRA,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2011,2011,2,2,4,1.8,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41791,TARQUI,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2011,2011,2,2,4,2.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
52,NARIÑO,52378,LA CRUZ,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2011,2011,100,100,82,0.82,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
52,NARIÑO,52693,SAN PABLO,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2011,2011,50,45,108,2.4,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
52,NARIÑO,52258,EL TABLON,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2011,2011,5,5,4,0.8,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
19,CAUCA,19392,LA SIERRA,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2012,2012,4,2,2,1.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41668,SAN AGUSTIN,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2012,2012,40,40,60,1.5,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41306,GIGANTE,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2012,2012,24,22,44,2.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41020,ALGECIRAS,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2012,2012,20,18,54,3.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41359,ISNOS,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2012,2012,10,10,16,1.6,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41396,LA PLATA,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2012,2012,10,6,11,1.8,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41244,ELIAS,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2012,2012,6,6,12,2.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41357,IQUIRA,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2012,2012,2,2,2,1.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
52,NARIÑO,52693,SAN PABLO,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2012,2012,45,43,194,4.5,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
52,NARIÑO,52019,ALBAN,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2012,2012,10,10,6,0.6,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
52,NARIÑO,52258,EL TABLON,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2012,2012,5,5,4,0.8,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
52,NARIÑO,52083,BELEN,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2012,2012,2,2,1,0.7,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
73,TOLIMA,73124,CAJAMARCA,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2012,2012,4,4,4,1.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
19,CAUCA,19392,LA SIERRA,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2013,2013,10,8,16,2.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
19,CAUCA,19821,TORIBIO,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2013,2013,10,8,14,1.8,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41668,SAN AGUSTIN,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2013,2013,35,35,56,1.6,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41306,GIGANTE,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2013,2013,15,15,30,2.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41359,ISNOS,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2013,2013,12,12,24,2.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41396,LA PLATA,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2013,2013,10,10,20,2.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41020,ALGECIRAS,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2013,2013,8,8,24,3.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41244,ELIAS,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2013,2013,6,6,12,2.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41357,IQUIRA,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2013,2013,2,2,2,1.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
52,NARIÑO,52378,LA CRUZ,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2013,2013,195,180,234,1.3,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
52,NARIÑO,52693,SAN PABLO,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2013,2013,83,80,320,4.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
52,NARIÑO,52019,ALBAN,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2013,2013,10,10,6,0.6,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
52,NARIÑO,52258,EL TABLON,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2013,2013,8,8,24,3.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
52,NARIÑO,52203,COLON,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2013,2013,4,4,4,1.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
52,NARIÑO,52687,SAN LORENZO,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2013,2013,4,4,8,2.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
52,NARIÑO,52083,BELEN,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2013,2013,3,3,2,0.7,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
52,NARIÑO,52694,SAN PEDRO DE CARTAGO,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2013,2013,3,2,2,1.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
19,CAUCA,19392,LA SIERRA,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2014,2014,10,8,16,2.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
19,CAUCA,19821,TORIBIO,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2014,2014,6,5,7,1.5,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41668,SAN AGUSTIN,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2014,2014,30,30,60,2.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41396,LA PLATA,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2014,2014,11,11,24,2.2,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41359,ISNOS,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2014,2014,10,10,20,2.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41306,GIGANTE,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2014,2014,8,8,16,2.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41020,ALGECIRAS,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2014,2014,7,7,18,2.5,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41244,ELIAS,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2014,2014,4,4,8,2.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41357,IQUIRA,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2014,2014,1,1,3,2.5,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
52,NARIÑO,52378,LA CRUZ,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2014,2014,400,360,432,1.2,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
52,NARIÑO,52693,SAN PABLO,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2014,2014,101,58,174,3.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
52,NARIÑO,52019,ALBAN,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2014,2014,15,15,9,0.6,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
52,NARIÑO,52694,SAN PEDRO DE CARTAGO,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2014,2014,15,15,15,1.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
52,NARIÑO,52258,EL TABLON,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2014,2014,12,12,24,2.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
52,NARIÑO,52083,BELEN,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2014,2014,3,3,3,1.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
15,BOYACA,15377,LABRANZAGRANDE,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2015,2015,3,2,4,2.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
19,CAUCA,19392,LA SIERRA,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2015,2015,14,10,20,2.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
19,CAUCA,19821,TORIBIO,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2015,2015,9,9,10,1.2,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41668,SAN AGUSTIN,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2015,2015,25,25,50,2.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41244,ELIAS,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2015,2015,17,17,34,2.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41298,GARZON,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2015,2015,15,13,26,2.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41359,ISNOS,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2015,2015,10,10,20,2.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41396,LA PLATA,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2015,2015,10,10,20,2.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41020,ALGECIRAS,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2015,2015,8,7,18,2.5,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41306,GIGANTE,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2015,2015,7,7,13,1.8,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41357,IQUIRA,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2015,2015,1,1,3,2.5,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
52,NARIÑO,52378,LA CRUZ,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2015,2015,300,280,840,3.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
52,NARIÑO,52693,SAN PABLO,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2015,2015,51,51,153,3.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
52,NARIÑO,52258,EL TABLON,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2015,2015,12,12,24,2.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
52,NARIÑO,52019,ALBAN,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2015,2015,8,8,5,0.6,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
52,NARIÑO,52203,COLON,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2015,2015,4,4,12,3.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
52,NARIÑO,52083,BELEN,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2015,2015,3,2,1,0.7,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
19,CAUCA,19392,LA SIERRA,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2016,2016,20,18,18,1.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
19,CAUCA,19821,TORIBIO,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2016,2016,7,5,7,1.5,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41668,SAN AGUSTIN,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2016,2016,23,23,51,2.2,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41244,ELIAS,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2016,2016,15,15,30,2.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41359,ISNOS,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2016,2016,11,11,22,2.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41298,GARZON,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2016,2016,10,10,22,2.2,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41396,LA PLATA,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2016,2016,9,9,20,2.2,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41306,GIGANTE,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2016,2016,7,7,13,1.8,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41020,ALGECIRAS,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2016,2016,5,5,13,2.5,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41357,IQUIRA,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2016,2016,1,1,3,2.5,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
52,NARIÑO,52378,LA CRUZ,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2016,2016,450,445,1335,3.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
52,NARIÑO,52693,SAN PABLO,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2016,2016,50,45,135,3.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
52,NARIÑO,52019,ALBAN,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2016,2016,5,5,4,0.7,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
52,NARIÑO,52203,COLON,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2016,2016,5,5,10,2.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
52,NARIÑO,52083,BELEN,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2016,2016,2,2,1,0.7,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
19,CAUCA,19392,LA SIERRA,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2017,2017,10,9,9,1.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
27,CHOCO,27745,SIPI,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2017,2017,7,7,35,5.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41668,SAN AGUSTIN,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2017,2017,23,23,51,2.2,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41359,ISNOS,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2017,2017,11,11,22,2.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41396,LA PLATA,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2017,2017,9,9,20,2.2,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41306,GIGANTE,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2017,2017,6,6,11,1.75,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41298,GARZON,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2017,2017,5,4,9,2.2,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41244,ELIAS,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2017,2017,4,4,5,1.2,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
41,HUILA,41020,ALGECIRAS,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2017,2017,1,1,1,1.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
52,NARIÑO,52378,LA CRUZ,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2017,2017,490,480,1440,3.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
52,NARIÑO,52693,SAN PABLO,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2017,2017,45,42,126,3.0,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
52,NARIÑO,52019,ALBAN,TUBERCULOS Y PLATANOS,ACHIRA,ACHIRA,ACHIRA,2017,2017,5,5,4,0.7,TUBERCULO FRESCO,CANNA EDULIS,ANUAL
